country,location_id,location,latitude,longitude,confirmedcases_10-01-2020,deaths_10-01-2020,confirmedcases_11-01-2020,deaths_11-01-2020,confirmedcases_12-01-2020,deaths_12-01-2020,confirmedcases_13-01-2020,deaths_13-01-2020,confirmedcases_14-01-2020,deaths_14-01-2020,confirmedcases_15-01-2020,deaths_15-01-2020,confirmedcases_16-01-2020,deaths_16-01-2020,confirmedcases_17-01-2020,deaths_17-01-2020,confirmedcases_18-01-2020,deaths_18-01-2020,confirmedcases_19-01-2020,deaths_19-01-2020,confirmedcases_20-01-2020,deaths_20-01-2020,confirmedcases_21-01-2020,deaths_21-01-2020,confirmedcases_22-01-2020,deaths_22-01-2020,confirmedcases_23-01-2020,deaths_23-01-2020,confirmedcases_24-01-2020,deaths_24-01-2020,confirmedcases_25-01-2020,deaths_25-01-2020,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020,confirmedcases_29-01-2020,deaths_29-01-2020,confirmedcases_30-01-2020,deaths_30-01-2020,confirmedcases_31-01-2020,deaths_31-01-2020,confirmedcases_01-02-2020,deaths_01-02-2020,confirmedcases_02-02-2020,deaths_02-02-2020,confirmedcases_03-02-2020,deaths_03-02-2020,confirmedcases_04-02-2020,deaths_04-02-2020,confirmedcases_05-02-2020,deaths_05-02-2020,confirmedcases_06-02-2020,deaths_06-02-2020,confirmedcases_07-02-2020,deaths_07-02-2020,confirmedcases_08-02-2020,deaths_08-02-2020,confirmedcases_09-02-2020,deaths_09-02-2020,confirmedcases_10-02-2020,deaths_10-02-2020,confirmedcases_11-02-2020,deaths_11-02-2020,confirmedcases_12-02-2020,deaths_12-02-2020,confirmedcases_13-02-2020,deaths_13-02-2020,confirmedcases_14-02-2020,deaths_14-02-2020
China,923,Shanxi,37.688,112.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,9,0,13,0,20,0,20,0,36,0,39,0,47,0,56,0,66,0,74,0,81,0,90,0,96,0,104,0,115,0,119,0,122,0,124,0,126,0,126,0,127,0
China,924,Sichuan,30.65,102.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,8,0,15,0,44,0,69,0,90,0,108,0,142,1,177,1,207,1,231,1,254,1,282,1,301,1,321,1,344,1,364,1,386,1,405,1,417,1,436,1,451,1,463,1,470,1
China,925,Taiwan,25.021,121.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,4,0,5,0,8,0,8,0,9,0,10,0,10,0,10,0,10,0,11,0,11,0,16,0,16,0,17,0,18,0,18,0,18,0,18,0,18,0,18,0
China,926,Tianjin,39.124,117.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,5,0,8,0,14,0,18,0,24,0,27,0,29,0,32,0,37,0,48,0,56,0,66,0,69,1,78,1,81,1,88,1,90,1,94,1,102,2,107,2,113,3,120,3,121,3
China,928,Tibet,31.55,87.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
China,927,Xinjiang,41.063,84.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,5,0,10,0,13,0,14,0,17,0,18,0,21,0,24,0,29,0,32,0,36,0,39,0,42,0,45,0,49,0,55,0,59,0,63,1,65,1,70,1
China,929,Yunnan,24.642,101.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,16,0,19,0,44,0,51,0,70,0,80,0,91,0,99,0,109,0,119,0,124,0,128,0,136,0,138,0,140,0,141,0,149,0,154,0,155,0,162,0,168,0
China,930,Zhejiang,29.138,119.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,43,0,43,0,104,0,128,0,173,0,296,0,428,0,537,0,599,0,661,0,724,0,829,0,895,0,954,0,1006,0,1048,0,1075,0,1092,0,1177,0,1131,0,1145,0,1155,0,1162,0
Finland,1244,Lapland,67.55,26.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
France,1249,Aquitaine,44.83,-0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
